START_SHOWCONTROL
TARGET_TYPE,TARGET_TYPE_AS_TEXT,TARGET_LIST_NUMBER,TARGET_ID,PART_NUMBER,LABEL,TIME_ADDRESS,DATE,TRIGGER,ACTION
28,Event,41,21,5,Fader Level 0x15,,,MIDI: B0 00 15,Sub  41
28,Event,41,22,5,Fader Level 0x16,,,MIDI: B0 00 16,Sub  41
28,Event,41,23,5,Fader Level 0x17,,,MIDI: B0 00 17,Sub  41
28,Event,41,24,5,Fader Level 0x18,,,MIDI: B0 00 18,Sub  41
28,Event,41,25,5,Fader Level 0x19,,,MIDI: B0 00 19,Sub  41
28,Event,41,26,5,Fader Level 0x1A,,,MIDI: B0 00 1A,Sub  41
28,Event,41,27,5,Fader Level 0x1B,,,MIDI: B0 00 1B,Sub  41
28,Event,41,28,5,Fader Level 0x1C,,,MIDI: B0 00 1C,Sub  41
28,Event,41,29,5,Fader Level 0x1D,,,MIDI: B0 00 1D,Sub  41
28,Event,41,30,5,Fader Level 0x1E,,,MIDI: B0 00 1E,Sub  41
28,Event,41,31,5,Fader Level 0x1F,,,MIDI: B0 00 1F,Sub  41
28,Event,41,32,5,Fader Level 0x20,,,MIDI: B0 00 20,Sub  41
28,Event,41,33,5,Fader Level 0x21,,,MIDI: B0 00 21,Sub  41
28,Event,41,34,5,Fader Level 0x22,,,MIDI: B0 00 22,Sub  41
28,Event,41,35,5,Fader Level 0x23,,,MIDI: B0 00 23,Sub  41
28,Event,41,36,5,Fader Level 0x24,,,MIDI: B0 00 24,Sub  41
28,Event,41,37,5,Fader Level 0x25,,,MIDI: B0 00 25,Sub  41
28,Event,41,38,5,Fader Level 0x26,,,MIDI: B0 00 26,Sub  41
28,Event,41,39,5,Fader Level 0x27,,,MIDI: B0 00 27,Sub  41
28,Event,41,40,5,Fader Level 0x28,,,MIDI: B0 00 28,Sub  41
28,Event,41,41,5,Fader Level 0x29,,,MIDI: B0 00 29,Sub  41
28,Event,41,42,5,Fader Level 0x2A,,,MIDI: B0 00 2A,Sub  41
28,Event,41,43,5,Fader Level 0x2B,,,MIDI: B0 00 2B,Sub  41
28,Event,41,44,5,Fader Level 0x2C,,,MIDI: B0 00 2C,Sub  41
28,Event,41,45,5,Fader Level 0x2D,,,MIDI: B0 00 2D,Sub  41
28,Event,41,46,5,Fader Level 0x2E,,,MIDI: B0 00 2E,Sub  41
28,Event,41,47,5,Fader Level 0x2F,,,MIDI: B0 00 2F,Sub  41
28,Event,41,48,5,Fader Level 0x30,,,MIDI: B0 00 30,Sub  41
28,Event,41,49,5,Fader Level 0x31,,,MIDI: B0 00 31,Sub  41
28,Event,41,50,5,Fader Level 0x32,,,MIDI: B0 00 32,Sub  41
28,Event,41,51,5,Fader Level 0x33,,,MIDI: B0 00 33,Sub  41
28,Event,41,52,5,Fader Level 0x34,,,MIDI: B0 00 34,Sub  41
28,Event,41,53,5,Fader Level 0x35,,,MIDI: B0 00 35,Sub  41
28,Event,41,54,5,Fader Level 0x36,,,MIDI: B0 00 36,Sub  41
28,Event,41,55,5,Fader Level 0x37,,,MIDI: B0 00 37,Sub  41
28,Event,41,56,5,Fader Level 0x38,,,MIDI: B0 00 38,Sub  41
28,Event,41,57,5,Fader Level 0x39,,,MIDI: B0 00 39,Sub  41
28,Event,41,58,5,Fader Level 0x3A,,,MIDI: B0 00 3A,Sub  41
28,Event,41,59,5,Fader Level 0x3B,,,MIDI: B0 00 3B,Sub  41
28,Event,41,60,5,Fader Level 0x3C,,,MIDI: B0 00 3C,Sub  41
28,Event,41,61,5,Fader Level 0x3D,,,MIDI: B0 00 3D,Sub  41
28,Event,41,62,5,Fader Level 0x3E,,,MIDI: B0 00 3E,Sub  41
28,Event,41,63,5,Fader Level 0x3F,,,MIDI: B0 00 3F,Sub  41
28,Event,41,64,5,Fader Level 0x40,,,MIDI: B0 00 40,Sub  41
28,Event,41,65,5,Fader Level 0x41,,,MIDI: B0 00 41,Sub  41
28,Event,41,66,5,Fader Level 0x42,,,MIDI: B0 00 42,Sub  41
28,Event,41,67,5,Fader Level 0x43,,,MIDI: B0 00 43,Sub  41
28,Event,41,68,5,Fader Level 0x44,,,MIDI: B0 00 44,Sub  41
28,Event,41,69,5,Fader Level 0x45,,,MIDI: B0 00 45,Sub  41
28,Event,41,70,5,Fader Level 0x46,,,MIDI: B0 00 46,Sub  41
28,Event,41,71,5,Fader Level 0x47,,,MIDI: B0 00 47,Sub  41
28,Event,41,72,5,Fader Level 0x48,,,MIDI: B0 00 48,Sub  41
28,Event,41,73,5,Fader Level 0x49,,,MIDI: B0 00 49,Sub  41
28,Event,41,74,5,Fader Level 0x4A,,,MIDI: B0 00 4A,Sub  41
28,Event,41,75,5,Fader Level 0x4B,,,MIDI: B0 00 4B,Sub  41
28,Event,41,76,5,Fader Level 0x4C,,,MIDI: B0 00 4C,Sub  41
28,Event,41,77,5,Fader Level 0x4D,,,MIDI: B0 00 4D,Sub  41
28,Event,41,78,5,Fader Level 0x4E,,,MIDI: B0 00 4E,Sub  41
28,Event,41,79,5,Fader Level 0x4F,,,MIDI: B0 00 4F,Sub  41
28,Event,41,80,5,Fader Level 0x50,,,MIDI: B0 00 50,Sub  41
28,Event,41,81,5,Fader Level 0x51,,,MIDI: B0 00 51,Sub  41
28,Event,41,82,5,Fader Level 0x52,,,MIDI: B0 00 52,Sub  41
28,Event,41,83,5,Fader Level 0x53,,,MIDI: B0 00 53,Sub  41
28,Event,41,84,5,Fader Level 0x54,,,MIDI: B0 00 54,Sub  41
28,Event,41,85,5,Fader Level 0x55,,,MIDI: B0 00 55,Sub  41
28,Event,41,86,5,Fader Level 0x56,,,MIDI: B0 00 56,Sub  41
28,Event,41,87,5,Fader Level 0x57,,,MIDI: B0 00 57,Sub  41
28,Event,41,88,5,Fader Level 0x58,,,MIDI: B0 00 58,Sub  41
28,Event,41,89,5,Fader Level 0x59,,,MIDI: B0 00 59,Sub  41
28,Event,41,90,5,Fader Level 0x5A,,,MIDI: B0 00 5A,Sub  41
28,Event,41,91,5,Fader Level 0x5B,,,MIDI: B0 00 5B,Sub  41
28,Event,41,92,5,Fader Level 0x5C,,,MIDI: B0 00 5C,Sub  41
28,Event,41,93,5,Fader Level 0x5D,,,MIDI: B0 00 5D,Sub  41
28,Event,41,94,5,Fader Level 0x5E,,,MIDI: B0 00 5E,Sub  41
28,Event,41,95,5,Fader Level 0x5F,,,MIDI: B0 00 5F,Sub  41
28,Event,41,96,5,Fader Level 0x60,,,MIDI: B0 00 60,Sub  41
28,Event,41,97,5,Fader Level 0x61,,,MIDI: B0 00 61,Sub  41
28,Event,41,98,5,Fader Level 0x62,,,MIDI: B0 00 62,Sub  41
28,Event,41,99,5,Fader Level 0x63,,,MIDI: B0 00 63,Sub  41
28,Event,41,100,5,Fader Level 0x64,,,MIDI: B0 00 64,Sub  41
28,Event,41,101,5,Fader Level 0x65,,,MIDI: B0 00 65,Sub  41
28,Event,41,102,5,Fader Level 0x66,,,MIDI: B0 00 66,Sub  41
28,Event,41,103,5,Fader Level 0x67,,,MIDI: B0 00 67,Sub  41
28,Event,41,104,5,Fader Level 0x68,,,MIDI: B0 00 68,Sub  41
28,Event,41,105,5,Fader Level 0x69,,,MIDI: B0 00 69,Sub  41
28,Event,41,106,5,Fader Level 0x6A,,,MIDI: B0 00 6A,Sub  41
28,Event,41,107,5,Fader Level 0x6B,,,MIDI: B0 00 6B,Sub  41
28,Event,41,108,5,Fader Level 0x6C,,,MIDI: B0 00 6C,Sub  41
28,Event,41,109,5,Fader Level 0x6D,,,MIDI: B0 00 6D,Sub  41
28,Event,41,110,5,Fader Level 0x6E,,,MIDI: B0 00 6E,Sub  41
28,Event,41,111,5,Fader Level 0x6F,,,MIDI: B0 00 6F,Sub  41
28,Event,41,112,5,Fader Level 0x70,,,MIDI: B0 00 70,Sub  41
28,Event,41,113,5,Fader Level 0x71,,,MIDI: B0 00 71,Sub  41
28,Event,41,114,5,Fader Level 0x72,,,MIDI: B0 00 72,Sub  41
28,Event,41,115,5,Fader Level 0x73,,,MIDI: B0 00 73,Sub  41
28,Event,41,116,5,Fader Level 0x74,,,MIDI: B0 00 74,Sub  41
28,Event,41,117,5,Fader Level 0x75,,,MIDI: B0 00 75,Sub  41
28,Event,41,118,5,Fader Level 0x76,,,MIDI: B0 00 76,Sub  41
28,Event,41,119,5,Fader Level 0x77,,,MIDI: B0 00 77,Sub  41
28,Event,41,120,5,Fader Level 0x78,,,MIDI: B0 00 78,Sub  41
28,Event,41,121,5,Fader Level 0x79,,,MIDI: B0 00 79,Sub  41
28,Event,41,122,5,Fader Level 0x7A,,,MIDI: B0 00 7A,Sub  41
28,Event,41,123,5,Fader Level 0x7B,,,MIDI: B0 00 7B,Sub  41
28,Event,41,124,5,Fader Level 0x7C,,,MIDI: B0 00 7C,Sub  41
28,Event,41,125,5,Fader Level 0x7D,,,MIDI: B0 00 7D,Sub  41
28,Event,41,126,5,Fader Level 0x7E,,,MIDI: B0 00 7E,Sub  41
28,Event,41,127,5,Fader Level 0x7F,,,MIDI: B0 00 7F,Sub  41
28,Event,41,128,5,Fader Level 0x00,,,MIDI: B0 00 00,Sub  41
28,Event,41,129,5,R Button HIGH,,,MIDI: B0 40 7F,Sub  41
28,Event,41,130,5,R Button LOW,,,MIDI: B0 40 00,Sub  41
28,Event,42,0,5,,,,Source 1 External,Network
28,Event,42,1,5,Fader Level 0x01,,,MIDI: B0 01 01,Sub  42
28,Event,42,2,5,Fader Level 0x02,,,MIDI: B0 01 02,Sub  42
28,Event,42,3,5,Fader Level 0x03,,,MIDI: B0 01 03,Sub  42
28,Event,42,4,5,Fader Level 0x04,,,MIDI: B0 01 04,Sub  42
28,Event,42,5,5,Fader Level 0x05,,,MIDI: B0 01 05,Sub  42
28,Event,42,6,5,Fader Level 0x06,,,MIDI: B0 01 06,Sub  42
28,Event,42,7,5,Fader Level 0x07,,,MIDI: B0 01 07,Sub  42
28,Event,42,8,5,Fader Level 0x08,,,MIDI: B0 01 08,Sub  42
28,Event,42,9,5,Fader Level 0x09,,,MIDI: B0 01 09,Sub  42
28,Event,42,10,5,Fader Level 0x0A,,,MIDI: B0 01 0A,Sub  42
28,Event,42,11,5,Fader Level 0x0B,,,MIDI: B0 01 0B,Sub  42
28,Event,42,12,5,Fader Level 0x0C,,,MIDI: B0 01 0C,Sub  42
28,Event,42,13,5,Fader Level 0x0D,,,MIDI: B0 01 0D,Sub  42
28,Event,42,14,5,Fader Level 0x0E,,,MIDI: B0 01 0E,Sub  42
28,Event,42,15,5,Fader Level 0x0F,,,MIDI: B0 01 0F,Sub  42
28,Event,42,16,5,Fader Level 0x10,,,MIDI: B0 01 10,Sub  42
28,Event,42,17,5,Fader Level 0x11,,,MIDI: B0 01 11,Sub  42
28,Event,42,18,5,Fader Level 0x12,,,MIDI: B0 01 12,Sub  42
28,Event,42,19,5,Fader Level 0x13,,,MIDI: B0 01 13,Sub  42
28,Event,42,20,5,Fader Level 0x14,,,MIDI: B0 01 14,Sub  42
28,Event,42,21,5,Fader Level 0x15,,,MIDI: B0 01 15,Sub  42
28,Event,42,22,5,Fader Level 0x16,,,MIDI: B0 01 16,Sub  42
28,Event,42,23,5,Fader Level 0x17,,,MIDI: B0 01 17,Sub  42
28,Event,42,24,5,Fader Level 0x18,,,MIDI: B0 01 18,Sub  42
28,Event,42,25,5,Fader Level 0x19,,,MIDI: B0 01 19,Sub  42
28,Event,42,26,5,Fader Level 0x1A,,,MIDI: B0 01 1A,Sub  42
28,Event,42,27,5,Fader Level 0x1B,,,MIDI: B0 01 1B,Sub  42
28,Event,42,28,5,Fader Level 0x1C,,,MIDI: B0 01 1C,Sub  42
28,Event,42,29,5,Fader Level 0x1D,,,MIDI: B0 01 1D,Sub  42
28,Event,42,30,5,Fader Level 0x1E,,,MIDI: B0 01 1E,Sub  42
28,Event,42,31,5,Fader Level 0x1F,,,MIDI: B0 01 1F,Sub  42
28,Event,42,32,5,Fader Level 0x20,,,MIDI: B0 01 20,Sub  42
28,Event,42,33,5,Fader Level 0x21,,,MIDI: B0 01 21,Sub  42
28,Event,42,34,5,Fader Level 0x22,,,MIDI: B0 01 22,Sub  42
28,Event,42,35,5,Fader Level 0x23,,,MIDI: B0 01 23,Sub  42
28,Event,42,36,5,Fader Level 0x24,,,MIDI: B0 01 24,Sub  42
28,Event,42,37,5,Fader Level 0x25,,,MIDI: B0 01 25,Sub  42
28,Event,42,38,5,Fader Level 0x26,,,MIDI: B0 01 26,Sub  42
28,Event,42,39,5,Fader Level 0x27,,,MIDI: B0 01 27,Sub  42
28,Event,42,40,5,Fader Level 0x28,,,MIDI: B0 01 28,Sub  42
28,Event,42,41,5,Fader Level 0x29,,,MIDI: B0 01 29,Sub  42
28,Event,42,42,5,Fader Level 0x2A,,,MIDI: B0 01 2A,Sub  42
28,Event,42,43,5,Fader Level 0x2B,,,MIDI: B0 01 2B,Sub  42
28,Event,42,44,5,Fader Level 0x2C,,,MIDI: B0 01 2C,Sub  42
28,Event,42,45,5,Fader Level 0x2D,,,MIDI: B0 01 2D,Sub  42
28,Event,42,46,5,Fader Level 0x2E,,,MIDI: B0 01 2E,Sub  42
28,Event,42,47,5,Fader Level 0x2F,,,MIDI: B0 01 2F,Sub  42
28,Event,42,48,5,Fader Level 0x30,,,MIDI: B0 01 30,Sub  42
28,Event,42,49,5,Fader Level 0x31,,,MIDI: B0 01 31,Sub  42
28,Event,42,50,5,Fader Level 0x32,,,MIDI: B0 01 32,Sub  42
28,Event,42,51,5,Fader Level 0x33,,,MIDI: B0 01 33,Sub  42
28,Event,42,52,5,Fader Level 0x34,,,MIDI: B0 01 34,Sub  42
28,Event,42,53,5,Fader Level 0x35,,,MIDI: B0 01 35,Sub  42
28,Event,42,54,5,Fader Level 0x36,,,MIDI: B0 01 36,Sub  42
28,Event,42,55,5,Fader Level 0x37,,,MIDI: B0 01 37,Sub  42
28,Event,42,56,5,Fader Level 0x38,,,MIDI: B0 01 38,Sub  42
28,Event,42,57,5,Fader Level 0x39,,,MIDI: B0 01 39,Sub  42
28,Event,42,58,5,Fader Level 0x3A,,,MIDI: B0 01 3A,Sub  42
28,Event,42,59,5,Fader Level 0x3B,,,MIDI: B0 01 3B,Sub  42
28,Event,42,60,5,Fader Level 0x3C,,,MIDI: B0 01 3C,Sub  42
28,Event,42,61,5,Fader Level 0x3D,,,MIDI: B0 01 3D,Sub  42
28,Event,42,62,5,Fader Level 0x3E,,,MIDI: B0 01 3E,Sub  42
28,Event,42,63,5,Fader Level 0x3F,,,MIDI: B0 01 3F,Sub  42
28,Event,42,64,5,Fader Level 0x40,,,MIDI: B0 01 40,Sub  42
28,Event,42,65,5,Fader Level 0x41,,,MIDI: B0 01 41,Sub  42
28,Event,42,66,5,Fader Level 0x42,,,MIDI: B0 01 42,Sub  42
28,Event,42,67,5,Fader Level 0x43,,,MIDI: B0 01 43,Sub  42
28,Event,42,68,5,Fader Level 0x44,,,MIDI: B0 01 44,Sub  42
28,Event,42,69,5,Fader Level 0x45,,,MIDI: B0 01 45,Sub  42
28,Event,42,70,5,Fader Level 0x46,,,MIDI: B0 01 46,Sub  42
28,Event,42,71,5,Fader Level 0x47,,,MIDI: B0 01 47,Sub  42
28,Event,42,72,5,Fader Level 0x48,,,MIDI: B0 01 48,Sub  42
28,Event,42,73,5,Fader Level 0x49,,,MIDI: B0 01 49,Sub  42
28,Event,42,74,5,Fader Level 0x4A,,,MIDI: B0 01 4A,Sub  42
28,Event,42,75,5,Fader Level 0x4B,,,MIDI: B0 01 4B,Sub  42
28,Event,42,76,5,Fader Level 0x4C,,,MIDI: B0 01 4C,Sub  42
28,Event,42,77,5,Fader Level 0x4D,,,MIDI: B0 01 4D,Sub  42
28,Event,42,78,5,Fader Level 0x4E,,,MIDI: B0 01 4E,Sub  42
28,Event,42,79,5,Fader Level 0x4F,,,MIDI: B0 01 4F,Sub  42
28,Event,42,80,5,Fader Level 0x50,,,MIDI: B0 01 50,Sub  42
28,Event,42,81,5,Fader Level 0x51,,,MIDI: B0 01 51,Sub  42
28,Event,42,82,5,Fader Level 0x52,,,MIDI: B0 01 52,Sub  42
28,Event,42,83,5,Fader Level 0x53,,,MIDI: B0 01 53,Sub  42
28,Event,42,84,5,Fader Level 0x54,,,MIDI: B0 01 54,Sub  42
28,Event,42,85,5,Fader Level 0x55,,,MIDI: B0 01 55,Sub  42
28,Event,42,86,5,Fader Level 0x56,,,MIDI: B0 01 56,Sub  42
28,Event,42,87,5,Fader Level 0x57,,,MIDI: B0 01 57,Sub  42
28,Event,42,88,5,Fader Level 0x58,,,MIDI: B0 01 58,Sub  42
28,Event,42,89,5,Fader Level 0x59,,,MIDI: B0 01 59,Sub  42
28,Event,42,90,5,Fader Level 0x5A,,,MIDI: B0 01 5A,Sub  42
28,Event,42,91,5,Fader Level 0x5B,,,MIDI: B0 01 5B,Sub  42
28,Event,42,92,5,Fader Level 0x5C,,,MIDI: B0 01 5C,Sub  42
28,Event,42,93,5,Fader Level 0x5D,,,MIDI: B0 01 5D,Sub  42
28,Event,42,94,5,Fader Level 0x5E,,,MIDI: B0 01 5E,Sub  42
28,Event,42,95,5,Fader Level 0x5F,,,MIDI: B0 01 5F,Sub  42
28,Event,42,96,5,Fader Level 0x60,,,MIDI: B0 01 60,Sub  42
28,Event,42,97,5,Fader Level 0x61,,,MIDI: B0 01 61,Sub  42
28,Event,42,98,5,Fader Level 0x62,,,MIDI: B0 01 62,Sub  42
28,Event,42,99,5,Fader Level 0x63,,,MIDI: B0 01 63,Sub  42
28,Event,42,100,5,Fader Level 0x64,,,MIDI: B0 01 64,Sub  42
28,Event,42,101,5,Fader Level 0x65,,,MIDI: B0 01 65,Sub  42
28,Event,42,102,5,Fader Level 0x66,,,MIDI: B0 01 66,Sub  42
28,Event,42,103,5,Fader Level 0x67,,,MIDI: B0 01 67,Sub  42
28,Event,42,104,5,Fader Level 0x68,,,MIDI: B0 01 68,Sub  42
28,Event,42,105,5,Fader Level 0x69,,,MIDI: B0 01 69,Sub  42
28,Event,42,106,5,Fader Level 0x6A,,,MIDI: B0 01 6A,Sub  42
28,Event,42,107,5,Fader Level 0x6B,,,MIDI: B0 01 6B,Sub  42
28,Event,42,108,5,Fader Level 0x6C,,,MIDI: B0 01 6C,Sub  42
28,Event,42,109,5,Fader Level 0x6D,,,MIDI: B0 01 6D,Sub  42
28,Event,42,110,5,Fader Level 0x6E,,,MIDI: B0 01 6E,Sub  42
28,Event,42,111,5,Fader Level 0x6F,,,MIDI: B0 01 6F,Sub  42
28,Event,42,112,5,Fader Level 0x70,,,MIDI: B0 01 70,Sub  42
28,Event,42,113,5,Fader Level 0x71,,,MIDI: B0 01 71,Sub  42
28,Event,42,114,5,Fader Level 0x72,,,MIDI: B0 01 72,Sub  42
28,Event,42,115,5,Fader Level 0x73,,,MIDI: B0 01 73,Sub  42
28,Event,42,116,5,Fader Level 0x74,,,MIDI: B0 01 74,Sub  42
28,Event,42,117,5,Fader Level 0x75,,,MIDI: B0 01 75,Sub  42
28,Event,42,118,5,Fader Level 0x76,,,MIDI: B0 01 76,Sub  42
28,Event,42,119,5,Fader Level 0x77,,,MIDI: B0 01 77,Sub  42
28,Event,42,120,5,Fader Level 0x78,,,MIDI: B0 01 78,Sub  42
28,Event,42,121,5,Fader Level 0x79,,,MIDI: B0 01 79,Sub  42
28,Event,42,122,5,Fader Level 0x7A,,,MIDI: B0 01 7A,Sub  42
28,Event,42,123,5,Fader Level 0x7B,,,MIDI: B0 01 7B,Sub  42
28,Event,42,124,5,Fader Level 0x7C,,,MIDI: B0 01 7C,Sub  42
28,Event,42,125,5,Fader Level 0x7D,,,MIDI: B0 01 7D,Sub  42
28,Event,42,126,5,Fader Level 0x7E,,,MIDI: B0 01 7E,Sub  42
28,Event,42,127,5,Fader Level 0x7F,,,MIDI: B0 01 7F,Sub  42
28,Event,42,128,5,Fader Level 0x00,,,MIDI: B0 01 00,Sub  42
28,Event,42,129,5,R Button HIGH,,,MIDI: B0 41 7F,Sub  42
28,Event,42,130,5,R Button LOW,,,MIDI: B0 41 00,Sub  42
28,Event,43,0,5,,,,Source 1 External,Network
28,Event,43,1,5,Fader Level 0x01,,,MIDI: B0 02 01,Sub  43
28,Event,43,2,5,Fader Level 0x02,,,MIDI: B0 02 02,Sub  43
28,Event,43,3,5,Fader Level 0x03,,,MIDI: B0 02 03,Sub  43
28,Event,43,4,5,Fader Level 0x04,,,MIDI: B0 02 04,Sub  43
28,Event,43,5,5,Fader Level 0x05,,,MIDI: B0 02 05,Sub  43
28,Event,43,6,5,Fader Level 0x06,,,MIDI: B0 02 06,Sub  43
28,Event,43,7,5,Fader Level 0x07,,,MIDI: B0 02 07,Sub  43
28,Event,43,8,5,Fader Level 0x08,,,MIDI: B0 02 08,Sub  43
28,Event,43,9,5,Fader Level 0x09,,,MIDI: B0 02 09,Sub  43
28,Event,43,10,5,Fader Level 0x0A,,,MIDI: B0 02 0A,Sub  43
28,Event,43,11,5,Fader Level 0x0B,,,MIDI: B0 02 0B,Sub  43
28,Event,43,12,5,Fader Level 0x0C,,,MIDI: B0 02 0C,Sub  43
28,Event,43,13,5,Fader Level 0x0D,,,MIDI: B0 02 0D,Sub  43
28,Event,43,14,5,Fader Level 0x0E,,,MIDI: B0 02 0E,Sub  43
28,Event,43,15,5,Fader Level 0x0F,,,MIDI: B0 02 0F,Sub  43
28,Event,43,16,5,Fader Level 0x10,,,MIDI: B0 02 10,Sub  43
28,Event,43,17,5,Fader Level 0x11,,,MIDI: B0 02 11,Sub  43
28,Event,43,18,5,Fader Level 0x12,,,MIDI: B0 02 12,Sub  43
28,Event,43,19,5,Fader Level 0x13,,,MIDI: B0 02 13,Sub  43
28,Event,43,20,5,Fader Level 0x14,,,MIDI: B0 02 14,Sub  43
28,Event,43,21,5,Fader Level 0x15,,,MIDI: B0 02 15,Sub  43
28,Event,43,22,5,Fader Level 0x16,,,MIDI: B0 02 16,Sub  43
28,Event,43,23,5,Fader Level 0x17,,,MIDI: B0 02 17,Sub  43
28,Event,43,24,5,Fader Level 0x18,,,MIDI: B0 02 18,Sub  43
28,Event,43,25,5,Fader Level 0x19,,,MIDI: B0 02 19,Sub  43
28,Event,43,26,5,Fader Level 0x1A,,,MIDI: B0 02 1A,Sub  43
28,Event,43,27,5,Fader Level 0x1B,,,MIDI: B0 02 1B,Sub  43
28,Event,43,28,5,Fader Level 0x1C,,,MIDI: B0 02 1C,Sub  43
28,Event,43,29,5,Fader Level 0x1D,,,MIDI: B0 02 1D,Sub  43
28,Event,43,30,5,Fader Level 0x1E,,,MIDI: B0 02 1E,Sub  43
28,Event,43,31,5,Fader Level 0x1F,,,MIDI: B0 02 1F,Sub  43
28,Event,43,32,5,Fader Level 0x20,,,MIDI: B0 02 20,Sub  43
28,Event,43,33,5,Fader Level 0x21,,,MIDI: B0 02 21,Sub  43
28,Event,43,34,5,Fader Level 0x22,,,MIDI: B0 02 22,Sub  43
28,Event,43,35,5,Fader Level 0x23,,,MIDI: B0 02 23,Sub  43
28,Event,43,36,5,Fader Level 0x24,,,MIDI: B0 02 24,Sub  43
28,Event,43,37,5,Fader Level 0x25,,,MIDI: B0 02 25,Sub  43
28,Event,43,38,5,Fader Level 0x26,,,MIDI: B0 02 26,Sub  43
28,Event,43,39,5,Fader Level 0x27,,,MIDI: B0 02 27,Sub  43
28,Event,43,40,5,Fader Level 0x28,,,MIDI: B0 02 28,Sub  43
28,Event,43,41,5,Fader Level 0x29,,,MIDI: B0 02 29,Sub  43
28,Event,43,42,5,Fader Level 0x2A,,,MIDI: B0 02 2A,Sub  43
28,Event,43,43,5,Fader Level 0x2B,,,MIDI: B0 02 2B,Sub  43
28,Event,43,44,5,Fader Level 0x2C,,,MIDI: B0 02 2C,Sub  43
28,Event,43,45,5,Fader Level 0x2D,,,MIDI: B0 02 2D,Sub  43
28,Event,43,46,5,Fader Level 0x2E,,,MIDI: B0 02 2E,Sub  43
28,Event,43,47,5,Fader Level 0x2F,,,MIDI: B0 02 2F,Sub  43
28,Event,43,48,5,Fader Level 0x30,,,MIDI: B0 02 30,Sub  43
28,Event,43,49,5,Fader Level 0x31,,,MIDI: B0 02 31,Sub  43
28,Event,43,50,5,Fader Level 0x32,,,MIDI: B0 02 32,Sub  43
28,Event,43,51,5,Fader Level 0x33,,,MIDI: B0 02 33,Sub  43
28,Event,43,52,5,Fader Level 0x34,,,MIDI: B0 02 34,Sub  43
28,Event,43,53,5,Fader Level 0x35,,,MIDI: B0 02 35,Sub  43
28,Event,43,54,5,Fader Level 0x36,,,MIDI: B0 02 36,Sub  43
28,Event,43,55,5,Fader Level 0x37,,,MIDI: B0 02 37,Sub  43
28,Event,43,56,5,Fader Level 0x38,,,MIDI: B0 02 38,Sub  43
28,Event,43,57,5,Fader Level 0x39,,,MIDI: B0 02 39,Sub  43
28,Event,43,58,5,Fader Level 0x3A,,,MIDI: B0 02 3A,Sub  43
28,Event,43,59,5,Fader Level 0x3B,,,MIDI: B0 02 3B,Sub  43
28,Event,43,60,5,Fader Level 0x3C,,,MIDI: B0 02 3C,Sub  43
28,Event,43,61,5,Fader Level 0x3D,,,MIDI: B0 02 3D,Sub  43
28,Event,43,62,5,Fader Level 0x3E,,,MIDI: B0 02 3E,Sub  43
28,Event,43,63,5,Fader Level 0x3F,,,MIDI: B0 02 3F,Sub  43
28,Event,43,64,5,Fader Level 0x40,,,MIDI: B0 02 40,Sub  43
28,Event,43,65,5,Fader Level 0x41,,,MIDI: B0 02 41,Sub  43
28,Event,43,66,5,Fader Level 0x42,,,MIDI: B0 02 42,Sub  43
28,Event,43,67,5,Fader Level 0x43,,,MIDI: B0 02 43,Sub  43
